what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.jboss.tools.jsf.vpe.seam,3.2.0.v20110215-1535-H41-GA,"org.jboss.tools.jsf.vpe.seam",1374200873136
stopped,bundle,org.jboss.tools.jsf.vpe.jsf,3.2.0.v20110215-1535-H41-GA,"org.jboss.tools.jsf.vpe.jsf",1374200873192
stopped,bundle,org.jboss.tools.maven.project.examples,1.0.0.v20110216-1827-H58-GA,"org.jboss.tools.maven.project.examples",1374200873192
stopped,bundle,org.jboss.tools.project.examples.cheatsheet,1.1.0.v20110215-1231-H28-GA,"org.jboss.tools.project.examples.cheatsheet",1374200873251
stopped,bundle,org.jboss.tools.project.examples,1.2.0.v20110215-1231-H28-GA,"org.jboss.tools.project.examples",1374200873251
stopped,bundle,org.jboss.tools.seam.core,3.2.0.v20110216-1818-H44-GA,"org.jboss.tools.seam.core",1374200873252
stopped,bundle,org.jboss.tools.jsf,3.2.0.v20110215-1535-H41-GA,"org.jboss.tools.jsf",1374200873254
stopped,bundle,org.jboss.tools.jsf.vpe.facelets,3.1.0.v20110215-1535-H41-GA,"org.jboss.tools.jsf.vpe.facelets",1374200873286
stopped,bundle,org.jboss.tools.jsf.vpe.myfaces,3.1.0.v20110215-1535-H41-GA,"org.jboss.tools.jsf.vpe.myfaces",1374200873348
stopped,bundle,org.jboss.tools.vpe.docbook,3.1.0.v20110215-1513-H28-GA,"org.jboss.tools.vpe.docbook",1374200873383
stopped,bundle,org.jboss.tools.vpe.html,3.2.0.v20110215-1513-H28-GA,"org.jboss.tools.vpe.html",1374200873459
stopped,bundle,org.jboss.tools.vpe.jsp,3.1.0.v20110215-1513-H28-GA,"org.jboss.tools.vpe.jsp",1374200873480
stopped,bundle,org.jboss.tools.vpe.spring,3.1.0.v20110215-1513-H28-GA,"org.jboss.tools.vpe.spring",1374200873542
stopped,bundle,org.jboss.tools.vpe,3.2.0.v20110215-1513-H28-GA,"org.jboss.tools.vpe",1374200873542
stopped,bundle,org.jboss.tools.jst.css,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.css",1374200873575
